"id","siteid","sitename","channelid","channelname","type","createtime"
"491","418432302463177500","汽车之友","","","11","2019/8/1 15:18:15"
"492","-5207558326205855169","汽车之友网","","","11","2019/8/1 15:18:15"
"493","5712528626212503161","58车","","","11","2019/8/1 15:18:15"
"494","7643490730538832480","58车网","","","11","2019/8/1 15:18:15"
"495","-8727611853875693027","汽车口碑网","","","11","2019/8/1 15:33:20"
"496","5497898801613847553","第一车网","","","11","2019/8/1 15:33:20"
"497","6729801735480049686","汽车消费网","","","11","2019/8/1 15:33:20"
"498","-6782464757223742133","中国汽车消费网","","","11","2019/8/1 15:33:20"
"499","4446297451410949309","咸宁汽车消费网","","","11","2019/8/1 15:33:20"
"500","1593188829150627728","新车评","","","11","2019/8/1 15:33:20"
"501","-2730290285931202493","新车评网","","","11","2019/8/1 15:33:20"
"502","2136574236516552510","汽车探索","","","11","2019/8/1 15:33:20"
"503","-3005462077022849826","车问网","","","11","2019/8/1 15:33:20"
"504","3468548209875692046","联合越野","","","11","2019/8/1 15:33:20"
"505","3519335074789701878","车主之家","","","11","2019/8/1 15:33:20"
"506","-7037748867090435004","佛山购车网","","","11","2019/8/1 15:33:20"
"507","-8509787808008605290","湛江购车网","","","11","2019/8/1 15:33:20"
"508","1031540566456526336","车云网","","","11","2019/8/1 15:33:20"
"509","-4547192292451462646","淘车网","","","11","2019/8/1 15:33:20"
"510","-1765749376521402890","车天下汽车","","","11","2019/8/1 15:33:20"
"511","-1759556419276406819","车天下汽车网","","","11","2019/8/1 15:33:20"
"512","3046490266213885795","老司机出品","","","11","2019/8/1 15:33:20"
"513","3886002284175983653","老司机侃侃车","","","11","2019/8/1 15:33:20"
"514","7644041407714175422","卡车之家","","","11","2019/8/1 15:33:20"
"515","8718372560441775312","汽车大全网","","","11","2019/8/1 15:33:20"
"516","-3622610995529170833","买车网","","","11","2019/8/1 15:33:20"
"517","-1631123393635066558","爱买车网","","","11","2019/8/1 15:33:20"
"518","-8494113538526217710","中国买车网","","","11","2019/8/1 15:33:20"
"519","-6008890046316704058","我要汽车网","","","11","2019/8/1 15:33:20"
"520","-123146488498055629","越野e族","","","11","2019/8/1 15:33:20"
"521","6749810884233114274","亚讯车网","","","11","2019/8/1 15:33:20"
"522","2403286328057263356","汽车江湖","","","11","2019/8/1 15:33:20"
"523","-3350397711515466281","汽车江湖网","","","11","2019/8/1 15:33:20"
"524","3938266945683781520","爱驾网","","","11","2019/8/1 15:33:20"
"525","5686533346025925698","中国汽车工业协会","","","11","2019/8/1 15:33:20"
"526","8916582830699941115","中国汽车工业协会网","","","11","2019/8/1 15:33:20"
"527","3929339575576794666","中国汽车工业协会网站","","","11","2019/8/1 15:33:20"
"528","-4130429354895816436","中国汽车工业信息网","","","11","2019/8/1 15:33:20"
"529","-2490044517700954822","车质网","","","11","2019/8/1 15:33:20"
"530","-268324420079290819","无敌汽车网","","","11","2019/8/1 15:33:20"
"531","-3973967159562513011","第一电动网","","","11","2019/8/1 15:33:20"
"532","860957890603101798","汽车产经网","","","11","2019/8/1 15:47:20"
"533","4540759796249141087","汽车头条","","","11","2019/8/1 15:47:20"
"534","-6708557741495862449","汽车头条要闻","","","11","2019/8/1 15:47:20"
"535","-8288629426291243335","汽车大世界","","","11","2019/8/1 15:47:20"
"536","5365766253125795118","深圳汽车大世界网","","","11","2019/8/1 15:47:20"
"537","-2324435295638707190","深圳汽车大世界","","","11","2019/8/1 15:47:20"
"538","7184487345369910497","第一车市","","","11","2019/8/1 15:47:20"
"539","-3244529169201467116","汽车时代网","","","11","2019/8/1 15:47:20"
"540","3755951306027318023","电动汽车时代网","","","11","2019/8/1 15:47:20"
"541","-5164215350288631607","人才时代网汽车时代网","","","11","2019/8/1 15:47:20"
"542","5049346845355458464","每日汽车","","","11","2019/8/1 15:47:20"
"543","4944138985560795811","每日汽车信息速递","","","11","2019/8/1 15:47:20"
"544","736392662840094165","时代汽车网","","","11","2019/8/1 15:47:20"
"545","-3183826165900645765","中国新能源汽车网","","","11","2019/8/1 15:47:20"
"546","6331160751046884646","新能源汽车网","","","11","2019/8/1 15:47:20"
"547","9141122124671393169","节能与新能源汽车网","","","11","2019/8/1 15:47:20"
"548","-5638496511877130073","中国客车网","","","11","2019/8/1 15:47:20"
"549","-5035183285256734160","选车网","","","11","2019/8/1 15:47:20"
"550","-965139150591338748","中国汽车召回网","","","11","2019/8/1 15:47:20"
"551","6906714876480104016","中国汽车技术信息网","","","11","2019/8/1 15:47:20"
"552","559635040678073599","非常汽车网","","","11","2019/8/1 15:47:20"
"553","8429021015627546101","中国二手车城网","","","11","2019/8/1 15:47:20"
"554","-991988160518538240","中国二手车网","","","11","2019/8/1 15:47:20"
"555","-5496427139531900336","中国二手车城","","","11","2019/8/1 15:47:20"
"556","8916748073449893615","51汽车网","","","11","2019/8/1 15:47:20"
"557","8957574694622182735","东风汽车报","","","12","2019/8/1 15:55:04"
"558","-4884399958754894916","上海汽车报","","","12","2019/8/1 15:55:04"
"559","-1405881729383675498","车主之家新闻频道","","","11","2019/8/5 10:23:06"
"560","-3648587303182978303","车家号","","","11","2019/8/5 10:23:06"
"575","-8727611853875693027","汽车口碑网","-3550611088279640264","汽车资讯","11","2019/8/14 11:29:17"
"578","-8284011763781133983","人民网汽车频道","","","11","2019/8/14 15:53:04"
"579","-2660483293905379628","央广网汽车","","","11","2019/8/14 15:53:04"
"580","8775772390890421757","我爱汽车网","2864370578860540606","汽车资讯","11","2019/8/14 15:53:04"
"594","-8273325234018681898","中国汽车报","","","12","2019/8/19 10:44:48"
"597","6999069674587999078","中国电动车网","-4916777092778822682","资讯","11","2019/8/19 14:46:37"
"598","4540759796249141087","汽车头条","-7815621659720784582","头条客","11","2019/8/19 14:46:37"
"600","-8709606516749856786","全球汽配网","2518956278431054523","资讯","11","2019/8/19 15:26:14"
"712","21182161571488041","QQ浏览器移动端","-8480559959039136555","汽车","31","2019/9/16 09:43:22"
"713","2700324465178404043","UC浏览器移动端","-150046615381216108","汽车","31","2019/9/16 09:43:22"
"714","-9215106261381780875","UC头条移动端","-1056052052337216927","汽车","31","2019/9/16 09:43:22"
"715","-6894436525879404401","wifi万能钥匙移动端","1624527305425694478","汽车","31","2019/9/16 09:43:22"
"716","7059201329635809293","翱翔移动端","4498524749286050519","汽车","31","2019/9/16 09:43:22"
"717","-2855301914467156408","百度浏览器移动端","-3830017716921921383","汽车","31","2019/9/16 09:43:22"
"718","3156540654032442522","百度新闻移动端","-7016551692886365106","汽车","31","2019/9/16 09:43:22"
"719","1816474842939401563","北京时间移动端","-3411638682078677737","汽车","31","2019/9/16 09:43:22"
"720","7123260566560025874","财经网移动端","8988560432354878622","汽车","31","2019/9/16 09:43:22"
"721","-461434730026127766","财经移动端","1337622694366820195","汽车","31","2019/9/16 09:43:22"
"722","8747443512242150943","参考消息移动端","6460091135924339668","汽车","31","2019/9/16 09:43:22"
"723","3597005695718921628","长江日报移动端","2944442210540995606","汽车","31","2019/9/16 09:43:22"
"724","7456207599319146226","大河移动端","1190593034876716614","汽车","31","2019/9/16 09:43:22"
"725","1168803939240590637","大皖新闻移动端","8464599252408922325","汽车","31","2019/9/16 09:43:22"
"726","679049294587598305","大小新闻移动端","-5418213663154122842","汽车","31","2019/9/16 09:43:22"
"727","-5433182817978338609","第一财经移动端","8472589274266340585","汽车","31","2019/9/16 09:43:22"
"728","-3929341423075436918","第一视频移动端","-6764404985110208004","汽车","31","2019/9/16 09:43:22"
"729","2135276205270846743","东方头条移动端","-8308036657091889876","汽车","31","2019/9/16 09:43:22"
"730","-1386895571726510531","凤凰新闻移动端","2824133285572567519","汽车","31","2019/9/16 09:43:22"
"731","2274521866836316703","观察者网移动端","8059648373940181757","汽车","31","2019/9/16 09:43:22"
"732","-8741933096945645777","环球Time移动端","-7404292395834182494","汽车","31","2019/9/16 09:43:22"
"733","4550706209720055309","交汇点移动端","8343632474129007500","汽车","31","2019/9/16 09:43:22"
"734","8133589115799386880","界面移动端","7612632517867013279","汽车","31","2019/9/16 09:43:22"
"735","-8956640384700668111","今日头条移动端","7586242667149147053","汽车","31","2019/9/16 09:43:22"
"736","-6608541175448877962","九派新闻移动端","4721154194013553516","汽车","31","2019/9/16 09:43:22"
"737","-673312823890304305","看楚天移动端","-7249768176267297188","汽车","31","2019/9/16 09:43:22"
"738","-7812298804838181726","看了吗移动端","3425270325128940095","汽车","31","2019/9/16 09:43:22"
"739","8262551112289557369","蓝鲸传媒移动端","-1536321419515496009","汽车","31","2019/9/16 09:43:22"
"740","4111433357552373374","梨视频移动端","-6681619604416871245","汽车","31","2019/9/16 09:43:22"
"741","281777299869687118","荔枝新闻移动端","-1822277622085738382","汽车","31","2019/9/16 09:43:22"
"742","-8556723940752952647","猎豹浏览器移动端","5173657548529727053","汽车","31","2019/9/16 09:43:22"
"743","6842368601970965966","每日经济新闻移动端","-6744652806250425188","汽车","31","2019/9/16 09:43:22"
"744","1723432757520462602","墨迹天气移动端","-1436344758984669243","汽车","31","2019/9/16 09:43:22"
"745","3897986170440500133","南方都市报移动端","-1328838312386409747","汽车","31","2019/9/16 09:43:22"
"746","7349298968735517863","能见移动端","-4087896223275537719","新能源汽车","31","2019/9/16 09:43:22"
"747","3595930321806834989","齐鲁壹点移动端","-4257727617811569289","汽车","31","2019/9/16 09:43:22"
"748","7338103430572262698","人民日报客户端","-8421772609990572908","汽车","31","2019/9/16 09:43:22"
"749","-8944534931026263725","商业周刊移动端","463671342954387727","汽车","31","2019/9/16 09:43:22"
"750","-85300090144421312","时代财经移动端","7700354491400743969","汽车","31","2019/9/16 09:43:22"
"751","4257346255322629774","时刻新闻移动端","7377583387693328374","汽车","31","2019/9/16 09:43:22"
"752","4562836132323261748","手机百度移动端","-6788669968777572275","汽车","31","2019/9/16 09:43:22"
"753","-7821388840589741982","搜狐新闻移动端","4145305249119838905","汽车","31","2019/9/16 09:43:22"
"754","-3076161842711491267","腾讯新闻移动端","-5879400278980935885","汽车","31","2019/9/16 09:43:22"
"755","6461418819762806673","天天快报移动端","-7097117949270488789","汽车","31","2019/9/16 09:43:22"
"756","-392962017434585325","网易新闻移动端","-7261181605664215649","汽车","31","2019/9/16 09:43:22"
"757","-9163450533999403395","无线苏州移动端","6917147305337125027","汽车","31","2019/9/16 09:43:22"
"758","-9129605718231186428","新浪新闻移动端","6075258538654280057","汽车","31","2019/9/16 09:43:22"
"759","603291269550019549","扬子扬眼移动端","-1235074919401540929","汽车","31","2019/9/16 09:43:22"
"760","8607173301922751748","一点资讯移动端","-5913921899569701780","汽车","31","2019/9/16 09:43:22"
"761","-5561605544289298273","引力播移动端","-1583365853426307473","汽车","31","2019/9/16 09:43:22"
"762","8138069777583225170","映象新闻移动端","-8499686497344346115","汽车","31","2019/9/16 09:43:22"
"763","3823979057081797864","掌上广西移动端","3952550014191611167","汽车","31","2019/9/16 09:43:22"
"764","-203871231791502022","掌上青岛移动端","-3309584356045583989","汽车","31","2019/9/16 09:43:22"
"765","-3374776768681782402","指尖山西移动端","-4173650995404209877","汽车","31","2019/9/16 09:43:22"
"766","1948722273687170655","中关村在线移动端","6853242589818969510","汽车","31","2019/9/16 09:43:22"
"767","-8044645909274623091","中国经济网移动端","3111139928149986833","汽车","31","2019/9/16 09:43:22"
"769","-5674524754663541261","中国新闻网移动端","5963020291105570824","汽车","31","2019/9/16 09:43:22"
"770","6865169896497704679","中新经纬移动端","2084452912162681317","汽车","31","2019/9/16 09:43:22"
"771","-6626102723183488969","ZAKER移动端","-2398973398101051539","汽车频道-试驾","31","2019/9/16 09:50:41"
"772","-6626102723183488969","ZAKER移动端","-3275883533871671578","汽车频道-用车","31","2019/9/16 09:50:41"
"773","-6626102723183488969","ZAKER移动端","3636327688847344163","汽车频道-综合","31","2019/9/16 09:50:41"
"774","-6626102723183488969","ZAKER移动端","8301709033397597711","汽车频道-导购","31","2019/9/16 09:50:41"
"775","5796823066848935672","封面新闻移动端","8617807776806906396","首页-汽车","31","2019/9/16 09:50:41"
"776","2483317447923547749","广报汇移动端","-3265978456217099414","汽车-汽车图片新闻","31","2019/9/16 09:50:41"
"777","2483317447923547749","广报汇移动端","-8356726823162271637","汽车-汽车新闻列表","31","2019/9/16 09:50:41"
"778","3970686130015643797","湖北日报新闻移动端","-6574422597597235529","汽车-新闻列表","31","2019/9/16 09:50:41"
"779","3970686130015643797","湖北日报新闻移动端","3230010270886407776","汽车-图片列表","31","2019/9/16 09:50:41"
"780","4418801210442773901","吉刻移动端","1958024789966641383","汽车-新闻列表","31","2019/9/16 09:50:41"
"781","4418801210442773901","吉刻移动端","3137599218623062829","汽车-头条","31","2019/9/16 09:50:41"
"782","3565695615571221032","胶东头条移动端","7833168499744766436","汽车-新闻列表","31","2019/9/16 09:50:41"
"783","9000413417983316224","澎湃新闻移动端","-4157980093226725894","生活-汽车圈","31","2019/9/16 09:50:41"
"784","3471204451788956611","无锡观察移动端","-6684969026422348762","生活-汽车","31","2019/9/16 09:50:41"
"785","-439265409040593763","新京报网移动端","-5740570139528501325","首页-汽车","31","2019/9/16 09:50:41"
"786","2037755341910261290","央广新闻移动端","-8878890587420245913","主要-汽车","31","2019/9/16 09:50:41"
"787","-2704514834144246930","扬帆移动端","6100992594272590671","订阅-汽车运输集团","31","2019/9/16 09:50:41"
"788","8607173301922751748","一点资讯移动端","-1221751361654577086","更多频道-通用汽车","31","2019/9/16 09:50:41"
"789","8607173301922751748","一点资讯移动端","3261690991099232348","更多频道-汽车美容","31","2019/9/16 09:50:41"
"790","8607173301922751748","一点资讯移动端","1777525991602440949","更多频道-汽车改装","31","2019/9/16 09:50:41"
"791","8607173301922751748","一点资讯移动端","1214232289398579293","更多频道-汽车保养","31","2019/9/16 09:50:41"
"792","8607173301922751748","一点资讯移动端","8096823285208871444","更多频道-新能源汽车","31","2019/9/16 09:50:41"
"793","8607173301922751748","一点资讯移动端","4246165981080899369","更多频道-汽车评测","31","2019/9/16 09:50:41"
"794","878780333256121640","壹今新闻移动端","-1519494344863945891","汽车-图片新闻","31","2019/9/16 09:50:41"
"795","878780333256121640","壹今新闻移动端","-6370841173678531146","汽车-新闻列表","31","2019/9/16 09:50:41"
"796","-126877757952949622","浙江24小时移动端","8630627179012258763","日子-汽车通","31","2019/9/16 09:50:41"
"797","-126877757952949622","浙江24小时移动端","-4138458981293630163","发现-生活家-汽车通","31","2019/9/16 09:50:41"
"798","2986784749817929304","南方Plus移动端","-2504373368392383535","新闻-汽车","31","2019/9/16 09:54:13"
