province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity
辽宁,210000,2a2ab41f8f6ff1cb,SUV,2016,1,299,755
重庆,500000,2a2ab41f8f6ff1cb,SUV,2016,1,771,1291
陕西,610000,2a2ab41f8f6ff1cb,SUV,2016,1,524,1320
黑龙江,230000,2a2ab41f8f6ff1cb,SUV,2016,1,605,1100
上海,310000,c06a2a387c0ee510,MPV,2016,1,1178,1117
云南,530000,c06a2a387c0ee510,MPV,2016,1,77,418
内蒙古,150000,c06a2a387c0ee510,MPV,2016,1,67,381
北京,110000,c06a2a387c0ee510,MPV,2016,1,1071,1524
四川,510000,c06a2a387c0ee510,MPV,2016,1,156,1133
安徽,340000,c06a2a387c0ee510,MPV,2016,1,149,502
山东,370000,c06a2a387c0ee510,MPV,2016,1,635,1953
山西,140000,c06a2a387c0ee510,MPV,2016,1,133,589
广东,440000,c06a2a387c0ee510,MPV,2016,1,585,1985
广西,450000,c06a2a387c0ee510,MPV,2016,1,58,299
江苏,320000,c06a2a387c0ee510,MPV,2016,1,739,1647
江西,360000,c06a2a387c0ee510,MPV,2016,1,91,305
河北,130000,c06a2a387c0ee510,MPV,2016,1,250,1286
河南,410000,c06a2a387c0ee510,MPV,2016,1,383,1713
浙江,330000,c06a2a387c0ee510,MPV,2016,1,395,1209
湖北,420000,c06a2a387c0ee510,MPV,2016,1,109,528
湖南,430000,c06a2a387c0ee510,MPV,2016,1,80,416
福建,350000,c06a2a387c0ee510,MPV,2016,1,77,410
辽宁,210000,c06a2a387c0ee510,MPV,2016,1,160,669
重庆,500000,c06a2a387c0ee510,MPV,2016,1,81,299
陕西,610000,c06a2a387c0ee510,MPV,2016,1,175,607
黑龙江,230000,c06a2a387c0ee510,MPV,2016,1,108,575
上海,310000,7023efdab9cedc03,Sedan,2016,1,992,2658
云南,530000,7023efdab9cedc03,Sedan,2016,1,191,994
内蒙古,150000,7023efdab9cedc03,Sedan,2016,1,102,973
北京,110000,7023efdab9cedc03,Sedan,2016,1,210,2354
四川,510000,7023efdab9cedc03,Sedan,2016,1,429,3507
安徽,340000,7023efdab9cedc03,Sedan,2016,1,762,2472
山东,370000,7023efdab9cedc03,Sedan,2016,1,898,4806
山西,140000,7023efdab9cedc03,Sedan,2016,1,114,1180
广东,440000,7023efdab9cedc03,Sedan,2016,1,609,4122
广西,450000,7023efdab9cedc03,Sedan,2016,1,170,904
江苏,320000,7023efdab9cedc03,Sedan,2016,1,1906,6905
江西,360000,7023efdab9cedc03,Sedan,2016,1,344,1457
河北,130000,7023efdab9cedc03,Sedan,2016,1,279,2831
河南,410000,7023efdab9cedc03,Sedan,2016,1,558,4025
浙江,330000,7023efdab9cedc03,Sedan,2016,1,1566,4992
湖北,420000,7023efdab9cedc03,Sedan,2016,1,453,2071
湖南,430000,7023efdab9cedc03,Sedan,2016,1,459,1836
福建,350000,7023efdab9cedc03,Sedan,2016,1,237,1242
辽宁,210000,7023efdab9cedc03,Sedan,2016,1,158,1249
重庆,500000,7023efdab9cedc03,Sedan,2016,1,81,690
陕西,610000,7023efdab9cedc03,Sedan,2016,1,275,1608
黑龙江,230000,7023efdab9cedc03,Sedan,2016,1,38,1015
上海,310000,af6f4f548684e14d,SUV,2016,1,1572,3615
云南,530000,af6f4f548684e14d,SUV,2016,1,612,1296
内蒙古,150000,af6f4f548684e14d,SUV,2016,1,463,1120
北京,110000,af6f4f548684e14d,SUV,2016,1,895,3499
四川,510000,af6f4f548684e14d,SUV,2016,1,1417,4444
安徽,340000,af6f4f548684e14d,SUV,2016,1,1219,2230
山东,370000,af6f4f548684e14d,SUV,2016,1,2241,5494
山西,140000,af6f4f548684e14d,SUV,2016,1,677,1686
广东,440000,af6f4f548684e14d,SUV,2016,1,2250,5197
广西,450000,af6f4f548684e14d,SUV,2016,1,594,1054
江苏,320000,af6f4f548684e14d,SUV,2016,1,2192,5279
江西,360000,af6f4f548684e14d,SUV,2016,1,1062,1609
河北,130000,af6f4f548684e14d,SUV,2016,1,1028,3296
河南,410000,af6f4f548684e14d,SUV,2016,1,1627,4697
浙江,330000,af6f4f548684e14d,SUV,2016,1,1657,4054
湖北,420000,af6f4f548684e14d,SUV,2016,1,1510,3170
湖南,430000,af6f4f548684e14d,SUV,2016,1,1650,2730
福建,350000,af6f4f548684e14d,SUV,2016,1,850,1686
辽宁,210000,af6f4f548684e14d,SUV,2016,1,446,1263
重庆,500000,af6f4f548684e14d,SUV,2016,1,540,1302
陕西,610000,af6f4f548684e14d,SUV,2016,1,746,1703
黑龙江,230000,af6f4f548684e14d,SUV,2016,1,266,1082
上海,310000,7cf283430b3b5e38,Sedan,2016,1,1709,3212
云南,530000,7cf283430b3b5e38,Sedan,2016,1,390,1076
内蒙古,150000,7cf283430b3b5e38,Sedan,2016,1,558,1156
北京,110000,7cf283430b3b5e38,Sedan,2016,1,334,2656
四川,510000,7cf283430b3b5e38,Sedan,2016,1,1710,4395
安徽,340000,7cf283430b3b5e38,Sedan,2016,1,2375,3459
山东,370000,7cf283430b3b5e38,Sedan,2016,1,3723,7475
山西,140000,7cf283430b3b5e38,Sedan,2016,1,646,1738
广东,440000,7cf283430b3b5e38,Sedan,2016,1,1777,4986
广西,450000,7cf283430b3b5e38,Sedan,2016,1,677,1147
江苏,320000,7cf283430b3b5e38,Sedan,2016,1,4998,8826
江西,360000,7cf283430b3b5e38,Sedan,2016,1,1261,1994
河北,130000,7cf283430b3b5e38,Sedan,2016,1,1931,4492
河南,410000,7cf283430b3b5e38,Sedan,2016,1,2603,6037
浙江,330000,7cf283430b3b5e38,Sedan,2016,1,3101,5807
湖北,420000,7cf283430b3b5e38,Sedan,2016,1,1782,2780
湖南,430000,7cf283430b3b5e38,Sedan,2016,1,1687,2453
福建,350000,7cf283430b3b5e38,Sedan,2016,1,893,1588
辽宁,210000,7cf283430b3b5e38,Sedan,2016,1,589,1526
重庆,500000,7cf283430b3b5e38,Sedan,2016,1,370,856
陕西,610000,7cf283430b3b5e38,Sedan,2016,1,741,1985
黑龙江,230000,7cf283430b3b5e38,Sedan,2016,1,299,1103
上海,310000,d4efbebb087fd03f,Sedan,2016,1,204,5993
云南,530000,d4efbebb087fd03f,Sedan,2016,1,184,2144
内蒙古,150000,d4efbebb087fd03f,Sedan,2016,1,389,3679
北京,110000,d4efbebb087fd03f,Sedan,2016,1,207,12937
四川,510000,d4efbebb087fd03f,Sedan,2016,1,955,7869
安徽,340000,d4efbebb087fd03f,Sedan,2016,1,792,7626
山东,370000,d4efbebb087fd03f,Sedan,2016,1,1924,12840
山西,140000,d4efbebb087fd03f,Sedan,2016,1,452,4653
广东,440000,d4efbebb087fd03f,Sedan,2016,1,1224,24365
广西,450000,d4efbebb087fd03f,Sedan,2016,1,498,3508
江苏,320000,d4efbebb087fd03f,Sedan,2016,1,1062,15837
江西,360000,d4efbebb087fd03f,Sedan,2016,1,1049,4410
河北,130000,d4efbebb087fd03f,Sedan,2016,1,919,9843
河南,410000,d4efbebb087fd03f,Sedan,2016,1,2130,19955
浙江,330000,d4efbebb087fd03f,Sedan,2016,1,1779,15301
湖北,420000,d4efbebb087fd03f,Sedan,2016,1,890,6066
湖南,430000,d4efbebb087fd03f,Sedan,2016,1,1524,5043
福建,350000,d4efbebb087fd03f,Sedan,2016,1,671,6383
辽宁,210000,d4efbebb087fd03f,Sedan,2016,1,214,7845
重庆,500000,d4efbebb087fd03f,Sedan,2016,1,378,2607
陕西,610000,d4efbebb087fd03f,Sedan,2016,1,927,4556
黑龙江,230000,d4efbebb087fd03f,Sedan,2016,1,193,2412
上海,310000,7245e0ee27b195cd,Sedan,2016,1,78,257
云南,530000,7245e0ee27b195cd,Sedan,2016,1,341,231
内蒙古,150000,7245e0ee27b195cd,Sedan,2016,1,352,425
北京,110000,7245e0ee27b195cd,Sedan,2016,1,235,589
四川,510000,7245e0ee27b195cd,Sedan,2016,1,756,867
安徽,340000,7245e0ee27b195cd,Sedan,2016,1,363,371
山东,370000,7245e0ee27b195cd,Sedan,2016,1,1789,1727
山西,140000,7245e0ee27b195cd,Sedan,2016,1,429,568
广东,440000,7245e0ee27b195cd,Sedan,2016,1,641,1219
广西,450000,7245e0ee27b195cd,Sedan,2016,1,285,262
江苏,320000,7245e0ee27b195cd,Sedan,2016,1,444,653
江西,360000,7245e0ee27b195cd,Sedan,2016,1,527,342
河北,130000,7245e0ee27b195cd,Sedan,2016,1,1277,1440
河南,410000,7245e0ee27b195cd,Sedan,2016,1,1463,1475
浙江,330000,7245e0ee27b195cd,Sedan,2016,1,450,746
湖北,420000,7245e0ee27b195cd,Sedan,2016,1,427,374
湖南,430000,7245e0ee27b195cd,Sedan,2016,1,899,473
福建,350000,7245e0ee27b195cd,Sedan,2016,1,201,281
辽宁,210000,7245e0ee27b195cd,Sedan,2016,1,295,464
重庆,500000,7245e0ee27b195cd,Sedan,2016,1,218,179
陕西,610000,7245e0ee27b195cd,Sedan,2016,1,785,803
黑龙江,230000,7245e0ee27b195cd,Sedan,2016,1,272,349
上海,310000,8c915fe4632fb9fa,SUV,2016,1,320,1275
云南,530000,8c915fe4632fb9fa,SUV,2016,1,785,970
内蒙古,150000,8c915fe4632fb9fa,SUV,2016,1,363,691
北京,110000,8c915fe4632fb9fa,SUV,2016,1,362,1618
四川,510000,8c915fe4632fb9fa,SUV,2016,1,1794,2983
安徽,340000,8c915fe4632fb9fa,SUV,2016,1,1233,1844
山东,370000,8c915fe4632fb9fa,SUV,2016,1,1412,3234
山西,140000,8c915fe4632fb9fa,SUV,2016,1,494,1318
广东,440000,8c915fe4632fb9fa,SUV,2016,1,1574,3109
广西,450000,8c915fe4632fb9fa,SUV,2016,1,527,576
江苏,320000,8c915fe4632fb9fa,SUV,2016,1,1591,3152
江西,360000,8c915fe4632fb9fa,SUV,2016,1,905,985
河北,130000,8c915fe4632fb9fa,SUV,2016,1,1293,2507
河南,410000,8c915fe4632fb9fa,SUV,2016,1,1515,3581
浙江,330000,8c915fe4632fb9fa,SUV,2016,1,1861,2729
湖北,420000,8c915fe4632fb9fa,SUV,2016,1,1123,1683
湖南,430000,8c915fe4632fb9fa,SUV,2016,1,1080,1235
福建,350000,8c915fe4632fb9fa,SUV,2016,1,489,909
辽宁,210000,8c915fe4632fb9fa,SUV,2016,1,351,845
重庆,500000,8c915fe4632fb9fa,SUV,2016,1,459,666
陕西,610000,8c915fe4632fb9fa,SUV,2016,1,709,1310
黑龙江,230000,8c915fe4632fb9fa,SUV,2016,1,587,1146
上海,310000,6155b214590c66e6,SUV,2016,1,871,4905
云南,530000,6155b214590c66e6,SUV,2016,1,1704,3584
内蒙古,150000,6155b214590c66e6,SUV,2016,1,744,2773
北京,110000,6155b214590c66e6,SUV,2016,1,963,6383
四川,510000,6155b214590c66e6,SUV,2016,1,3386,9483
安徽,340000,6155b214590c66e6,SUV,2016,1,2327,5166
山东,370000,6155b214590c66e6,SUV,2016,1,3259,10660
山西,140000,6155b214590c66e6,SUV,2016,1,885,3871
广东,440000,6155b214590c66e6,SUV,2016,1,3438,11720
广西,450000,6155b214590c66e6,SUV,2016,1,898,2289
江苏,320000,6155b214590c66e6,SUV,2016,1,3796,11380
江西,360000,6155b214590c66e6,SUV,2016,1,1595,2982
河北,130000,6155b214590c66e6,SUV,2016,1,2546,7848
河南,410000,6155b214590c66e6,SUV,2016,1,4567,13080
浙江,330000,6155b214590c66e6,SUV,2016,1,3658,9470
湖北,420000,6155b214590c66e6,SUV,2016,1,2416,5507
湖南,430000,6155b214590c66e6,SUV,2016,1,2539,4316
福建,350000,6155b214590c66e6,SUV,2016,1,820,3100
辽宁,210000,6155b214590c66e6,SUV,2016,1,967,3584
重庆,500000,6155b214590c66e6,SUV,2016,1,1093,2236
陕西,610000,6155b214590c66e6,SUV,2016,1,1187,3832
黑龙江,230000,6155b214590c66e6,SUV,2016,1,797,3283
上海,310000,28e29f2c03dcd84c,Sedan,2016,1,1357,630
云南,530000,28e29f2c03dcd84c,Sedan,2016,1,572,494
内蒙古,150000,28e29f2c03dcd84c,Sedan,2016,1,624,332
北京,110000,28e29f2c03dcd84c,Sedan,2016,1,1794,729
四川,510000,28e29f2c03dcd84c,Sedan,2016,1,933,1214
安徽,340000,28e29f2c03dcd84c,Sedan,2016,1,1168,830
山东,370000,28e29f2c03dcd84c,Sedan,2016,1,1944,1157
山西,140000,28e29f2c03dcd84c,Sedan,2016,1,1214,452
广东,440000,28e29f2c03dcd84c,Sedan,2016,1,542,1227
广西,450000,28e29f2c03dcd84c,Sedan,2016,1,218,239
江苏,320000,28e29f2c03dcd84c,Sedan,2016,1,2309,1575
江西,360000,28e29f2c03dcd84c,Sedan,2016,1,722,338
河北,130000,28e29f2c03dcd84c,Sedan,2016,1,1886,930
河南,410000,28e29f2c03dcd84c,Sedan,2016,1,1577,1464
浙江,330000,28e29f2c03dcd84c,Sedan,2016,1,1114,1154
湖北,420000,28e29f2c03dcd84c,Sedan,2016,1,523,557
湖南,430000,28e29f2c03dcd84c,Sedan,2016,1,747,534
福建,350000,28e29f2c03dcd84c,Sedan,2016,1,584,411
辽宁,210000,28e29f2c03dcd84c,Sedan,2016,1,263,277
重庆,500000,28e29f2c03dcd84c,Sedan,2016,1,800,379
陕西,610000,28e29f2c03dcd84c,Sedan,2016,1,789,532
黑龙江,230000,28e29f2c03dcd84c,Sedan,2016,1,183,193
上海,310000,37aa9169b575ef79,Sedan,2016,1,46,1342
云南,530000,37aa9169b575ef79,Sedan,2016,1,1285,1193
内蒙古,150000,37aa9169b575ef79,Sedan,2016,1,1314,1995
北京,110000,37aa9169b575ef79,Sedan,2016,1,945,3217
四川,510000,37aa9169b575ef79,Sedan,2016,1,2222,3402
安徽,340000,37aa9169b575ef79,Sedan,2016,1,607,1100
山东,370000,37aa9169b575ef79,Sedan,2016,1,4027,5902
山西,140000,37aa9169b575ef79,Sedan,2016,1,1234,2265
广东,440000,37aa9169b575ef79,Sedan,2016,1,1556,4162
广西,450000,37aa9169b575ef79,Sedan,2016,1,493,568
江苏,320000,37aa9169b575ef79,Sedan,2016,1,917,2663
江西,360000,37aa9169b575ef79,Sedan,2016,1,496,852
河北,130000,37aa9169b575ef79,Sedan,2016,1,3740,7103
河南,410000,37aa9169b575ef79,Sedan,2016,1,2560,4993
浙江,330000,37aa9169b575ef79,Sedan,2016,1,800,2216
湖北,420000,37aa9169b575ef79,Sedan,2016,1,841,1449
湖南,430000,37aa9169b575ef79,Sedan,2016,1,2251,1420
福建,350000,37aa9169b575ef79,Sedan,2016,1,788,1079
辽宁,210000,37aa9169b575ef79,Sedan,2016,1,1349,2805
重庆,500000,37aa9169b575ef79,Sedan,2016,1,234,582
陕西,610000,37aa9169b575ef79,Sedan,2016,1,1113,1981
黑龙江,230000,37aa9169b575ef79,Sedan,2016,1,1494,2656
上海,310000,63065128401bb3ff,Sedan,2016,1,2375,1432
云南,530000,63065128401bb3ff,Sedan,2016,1,1009,1031
内蒙古,150000,63065128401bb3ff,Sedan,2016,1,744,768
北京,110000,63065128401bb3ff,Sedan,2016,1,1468,1521
四川,510000,63065128401bb3ff,Sedan,2016,1,2462,2861
安徽,340000,63065128401bb3ff,Sedan,2016,1,3082,2063
山东,370000,63065128401bb3ff,Sedan,2016,1,5502,3047
山西,140000,63065128401bb3ff,Sedan,2016,1,2073,1100
广东,440000,63065128401bb3ff,Sedan,2016,1,2669,3285
广西,450000,63065128401bb3ff,Sedan,2016,1,722,623
江苏,320000,63065128401bb3ff,Sedan,2016,1,5630,4046
江西,360000,63065128401bb3ff,Sedan,2016,1,2694,1100
河北,130000,63065128401bb3ff,Sedan,2016,1,4516,2500
河南,410000,63065128401bb3ff,Sedan,2016,1,4592,3791
浙江,330000,63065128401bb3ff,Sedan,2016,1,3120,2982
湖北,420000,63065128401bb3ff,Sedan,2016,1,2590,1582
湖南,430000,63065128401bb3ff,Sedan,2016,1,2791,1436
福建,350000,63065128401bb3ff,Sedan,2016,1,1609,1080
辽宁,210000,63065128401bb3ff,Sedan,2016,1,916,849
重庆,500000,63065128401bb3ff,Sedan,2016,1,1039,764
陕西,610000,63065128401bb3ff,Sedan,2016,1,1658,1396
黑龙江,230000,63065128401bb3ff,Sedan,2016,1,399,594
上海,310000,ea489c253676aafc,Sedan,2016,1,968,1200
云南,530000,ea489c253676aafc,Sedan,2016,1,612,645
内蒙古,150000,ea489c253676aafc,Sedan,2016,1,712,631
北京,110000,ea489c253676aafc,Sedan,2016,1,529,1706
四川,510000,ea489c253676aafc,Sedan,2016,1,1515,1618
安徽,340000,ea489c253676aafc,Sedan,2016,1,1394,907
山东,370000,ea489c253676aafc,Sedan,2016,1,5127,3489
山西,140000,ea489c253676aafc,Sedan,2016,1,2427,1517
广东,440000,ea489c253676aafc,Sedan,2016,1,467,2020
广西,450000,ea489c253676aafc,Sedan,2016,1,403,334
江苏,320000,ea489c253676aafc,Sedan,2016,1,1366,2076
江西,360000,ea489c253676aafc,Sedan,2016,1,955,502
河北,130000,ea489c253676aafc,Sedan,2016,1,4674,3377
河南,410000,ea489c253676aafc,Sedan,2016,1,2819,2522
浙江,330000,ea489c253676aafc,Sedan,2016,1,1400,1671
湖北,420000,ea489c253676aafc,Sedan,2016,1,677,757
湖南,430000,ea489c253676aafc,Sedan,2016,1,1213,593
福建,350000,ea489c253676aafc,Sedan,2016,1,500,540
辽宁,210000,ea489c253676aafc,Sedan,2016,1,790,1053
重庆,500000,ea489c253676aafc,Sedan,2016,1,587,450
陕西,610000,ea489c253676aafc,Sedan,2016,1,916,1172
黑龙江,230000,ea489c253676aafc,Sedan,2016,1,447,638
上海,310000,cd5841d44fd7625e,Sedan,2016,1,317,1101
云南,530000,cd5841d44fd7625e,Sedan,2016,1,523,982
内蒙古,150000,cd5841d44fd7625e,Sedan,2016,1,445,851
北京,110000,cd5841d44fd7625e,Sedan,2016,1,1279,1767
四川,510000,cd5841d44fd7625e,Sedan,2016,1,985,2613
安徽,340000,cd5841d44fd7625e,Sedan,2016,1,594,1366
山东,370000,cd5841d44fd7625e,Sedan,2016,1,1527,2789
山西,140000,cd5841d44fd7625e,Sedan,2016,1,453,930
广东,440000,cd5841d44fd7625e,Sedan,2016,1,752,2476
广西,450000,cd5841d44fd7625e,Sedan,2016,1,211,538
江苏,320000,cd5841d44fd7625e,Sedan,2016,1,1523,3042
江西,360000,cd5841d44fd7625e,Sedan,2016,1,379,745
河北,130000,cd5841d44fd7625e,Sedan,2016,1,1612,2774
河南,410000,cd5841d44fd7625e,Sedan,2016,1,1352,2905
浙江,330000,cd5841d44fd7625e,Sedan,2016,1,764,2333
湖北,420000,cd5841d44fd7625e,Sedan,2016,1,493,1162
湖南,430000,cd5841d44fd7625e,Sedan,2016,1,508,982
福建,350000,cd5841d44fd7625e,Sedan,2016,1,492,894
辽宁,210000,cd5841d44fd7625e,Sedan,2016,1,638,1110
重庆,500000,cd5841d44fd7625e,Sedan,2016,1,313,575
陕西,610000,cd5841d44fd7625e,Sedan,2016,1,491,1174
黑龙江,230000,cd5841d44fd7625e,Sedan,2016,1,789,1107
上海,310000,b25c4e2e3856af22,SUV,2016,1,1571,3964
